id,date,label,value
223,2011-02-24,BTC / USD,0.9937
224,2011-02-25,BTC / USD,0.9111
225,2011-02-26,BTC / USD,0.9580
226,2011-02-27,BTC / USD,0.8900
227,2011-02-28,BTC / USD,0.8701
228,2011-03-01,BTC / USD,0.9202
229,2011-03-02,BTC / USD,0.9399
230,2011-03-03,BTC / USD,0.9391
231,2011-03-04,BTC / USD,0.9012
232,2011-03-05,BTC / USD,0.9103
233,2011-03-06,BTC / USD,0.8866
234,2011-03-07,BTC / USD,0.8850
235,2011-03-08,BTC / USD,0.8700
236,2011-03-09,BTC / USD,0.8645
237,2011-03-10,BTC / USD,0.9329
238,2011-03-11,BTC / USD,0.8800
239,2011-03-12,BTC / USD,0.9180
240,2011-03-13,BTC / USD,0.8925
241,2011-03-14,BTC / USD,0.8949
242,2011-03-15,BTC / USD,0.8711
243,2011-03-16,BTC / USD,0.8600
244,2011-03-17,BTC / USD,0.8254
245,2011-03-18,BTC / USD,0.8165
246,2011-03-19,BTC / USD,0.7650
247,2011-03-20,BTC / USD,0.7411
248,2011-03-21,BTC / USD,0.7590
249,2011-03-22,BTC / USD,0.8090
250,2011-03-23,BTC / USD,0.8497
251,2011-03-24,BTC / USD,0.8669
252,2011-03-25,BTC / USD,0.8838
253,2011-03-26,BTC / USD,0.8552
254,2011-03-27,BTC / USD,0.8275
255,2011-03-28,BTC / USD,0.7990
256,2011-03-29,BTC / USD,0.7925
257,2011-03-30,BTC / USD,0.7897
258,2011-03-31,BTC / USD,0.7846
259,2011-04-01,BTC / USD,0.7741
260,2011-04-02,BTC / USD,0.7820
261,2011-04-03,BTC / USD,0.7790
262,2011-04-04,BTC / USD,0.6800
263,2011-04-05,BTC / USD,0.7100
264,2011-04-06,BTC / USD,0.7400
265,2011-04-07,BTC / USD,0.7538
266,2011-04-08,BTC / USD,0.7500
267,2011-04-09,BTC / USD,0.7466
268,2011-04-10,BTC / USD,0.7369
269,2011-04-11,BTC / USD,0.7700
270,2011-04-12,BTC / USD,0.8600
271,2011-04-13,BTC / USD,0.9312
272,2011-04-14,BTC / USD,0.9994
273,2011-04-15,BTC / USD,0.9869
274,2011-04-16,BTC / USD,1.0499
275,2011-04-17,BTC / USD,1.1306
276,2011-04-18,BTC / USD,1.1620
277,2011-04-19,BTC / USD,1.1965
278,2011-04-20,BTC / USD,1.1421
279,2011-04-21,BTC / USD,1.2080
280,2011-04-22,BTC / USD,1.4090
281,2011-04-23,BTC / USD,1.6653
282,2011-04-24,BTC / USD,1.6301
283,2011-04-25,BTC / USD,1.5762
284,2011-04-26,BTC / USD,1.7949
285,2011-04-27,BTC / USD,1.9000
286,2011-04-28,BTC / USD,2.2106
287,2011-04-29,BTC / USD,2.8800
288,2011-04-30,BTC / USD,3.5000
289,2011-05-01,BTC / USD,3.0331
290,2011-05-02,BTC / USD,3.2000
291,2011-05-03,BTC / USD,3.3975
292,2011-05-04,BTC / USD,3.4061
293,2011-05-05,BTC / USD,3.3330
294,2011-05-06,BTC / USD,3.4520
295,2011-05-07,BTC / USD,3.6410
296,2011-05-08,BTC / USD,3.8658
297,2011-05-09,BTC / USD,3.8000
298,2011-05-10,BTC / USD,5.8050
299,2011-05-11,BTC / USD,5.5000
300,2011-05-12,BTC / USD,6.3635
301,2011-05-13,BTC / USD,8.1940
302,2011-05-14,BTC / USD,7.0266
303,2011-05-15,BTC / USD,6.9885
304,2011-05-16,BTC / USD,8.0000
305,2011-05-17,BTC / USD,7.2100
306,2011-05-18,BTC / USD,6.8850
307,2011-05-19,BTC / USD,6.8896
308,2011-05-20,BTC / USD,5.5904
309,2011-05-21,BTC / USD,6.1327
310,2011-05-22,BTC / USD,6.7363
311,2011-05-23,BTC / USD,7.1064
312,2011-05-24,BTC / USD,7.4200
313,2011-05-25,BTC / USD,8.4094
314,2011-05-26,BTC / USD,8.7736
315,2011-05-27,BTC / USD,8.5002
316,2011-05-28,BTC / USD,8.3001
317,2011-05-29,BTC / USD,8.4299
318,2011-05-30,BTC / USD,8.8000
319,2011-05-31,BTC / USD,8.7155
320,2011-06-01,BTC / USD,9.6075
321,2011-06-02,BTC / USD,10.6430
322,2011-06-03,BTC / USD,14.3178
323,2011-06-04,BTC / USD,18.6476
324,2011-06-05,BTC / USD,16.6750
325,2011-06-06,BTC / USD,18.3714
326,2011-06-07,BTC / USD,23.3970
327,2011-06-08,BTC / USD,29.6409
328,2011-06-09,BTC / USD,28.9407
329,2011-06-10,BTC / USD,23.8617
330,2011-06-11,BTC / USD,14.6512
331,2011-06-12,BTC / USD,18.7196
332,2011-06-13,BTC / USD,19.4093
333,2011-06-14,BTC / USD,19.3206
334,2011-06-15,BTC / USD,19.4900
335,2011-06-16,BTC / USD,17.3638
336,2011-06-17,BTC / USD,15.8341
337,2011-06-18,BTC / USD,16.8767
338,2011-06-19,BTC / USD,17.4055
339,2011-06-20,BTC / USD,17.4796
340,2011-06-21,BTC / USD,17.8505
341,2011-06-22,BTC / USD,17.9063
342,2011-06-23,BTC / USD,18.1684
343,2011-06-24,BTC / USD,18.5854
344,2011-06-25,BTC / USD,17.9433
345,2011-06-26,BTC / USD,16.3664
346,2011-06-27,BTC / USD,16.7501
347,2011-06-28,BTC / USD,16.9430
348,2011-06-29,BTC / USD,16.8998
349,2011-06-30,BTC / USD,16.1536
350,2011-07-01,BTC / USD,15.3633
351,2011-07-02,BTC / USD,15.4000
352,2011-07-03,BTC / USD,15.4404
353,2011-07-04,BTC / USD,13.8201
354,2011-07-05,BTC / USD,12.8868
355,2011-07-06,BTC / USD,14.7671
356,2011-07-07,BTC / USD,14.7701
357,2011-07-08,BTC / USD,14.3138
358,2011-07-09,BTC / USD,14.3775
359,2011-07-10,BTC / USD,14.7474
360,2011-07-11,BTC / USD,14.2110
361,2011-07-12,BTC / USD,14.0165
362,2011-07-13,BTC / USD,13.9543
363,2011-07-14,BTC / USD,13.9978
364,2011-07-15,BTC / USD,13.8100
365,2011-07-16,BTC / USD,13.7190
366,2011-07-17,BTC / USD,13.1679
367,2011-07-18,BTC / USD,13.4231
368,2011-07-19,BTC / USD,13.8420
369,2011-07-20,BTC / USD,13.6931
370,2011-07-21,BTC / USD,13.6121
371,2011-07-22,BTC / USD,13.6954
372,2011-07-23,BTC / USD,13.6800
373,2011-07-24,BTC / USD,13.9800
