id,date,value,open,high,low
37,1996-09-01,354.10998535156,333.88000488281,354.29000854492,330.42001342773
38,1996-12-01,360.04998779297,354.10998535156,373.17001342773,348.45001220703
39,1997-03-01,380.76000976562,360.04998779297,380.76000976562,335.17999267578
40,1997-06-01,423.42999267578,380.76000976562,423.82000732422,380.58999633789
41,1997-09-01,429.92001342773,423.42999267578,466.20999145508,405.36999511719
42,1997-12-01,461.82998657227,429.92001342773,462.42001342773,404.85998535156
43,1998-03-01,456.61999511719,461.82998657227,492.2799987793,445.60000610352
44,1998-06-01,337.95001220703,456.61999511719,464.32998657227,337.83999633789
45,1998-09-01,397.75,337.95001220703,403.14001464844,303.86999511719
46,1998-12-01,392.26000976562,397.75,435.29998779297,387.60998535156
47,1999-03-01,438.67999267578,392.23999023438,452.5,381.95999145508
48,1999-06-01,427.82998657227,438.67999267578,465.79998779297,417.07000732422
49,1999-09-01,454.07998657227,427.82998657227,463.20001220703,406.32998657227
50,1999-12-01,577.71002197266,454.07998657227,577.71997070312,451.80999755859
51,2000-03-01,476.17999267578,577.71002197266,614.15997314453,441.55999755859
52,2000-06-01,537.89001464844,476.17999267578,545.71002197266,476.17999267578
53,2000-09-01,445.94000244141,537.89001464844,542.82000732422,440.76000976562
54,2000-12-01,474.36999511719,445.94000244141,515.21997070312,440.7799987793
55,2001-03-01,496.5,474.38000488281,519.89001464844,419.70001220703
56,2001-06-01,468.55999755859,496.5,516.47998046875,465.42001342773
57,2001-09-01,460.7799987793,468.55999755859,472.80999755859,373.61999511719
58,2001-12-01,469.35998535156,460.79000854492,503.07998657227,455.51000976562
59,2002-03-01,487.4700012207,469.36999511719,523.78997802734,469.19000244141
60,2002-06-01,390.95999145508,487.4700012207,487.58999633789,354.10998535156
61,2002-09-01,406.35000610352,390.95999145508,411.13000488281,324.89999389648
62,2002-12-01,360.51998901367,406.35998535156,413.64001464844,351.7799987793
63,2003-03-01,441,360.51998901367,441.01000976562,343.05999755859
64,2003-06-01,497.42001342773,441,499.42001342773,437.20001220703
65,2003-09-01,546.51000976562,497.42001342773,547.55999755859,482.13000488281
66,2003-12-01,585.55999755859,546.51000976562,601.5,526.41998291016
67,2004-03-01,568.28002929688,585.55999755859,606.41998291016,530.67999267578
68,2004-06-01,547.92999267578,568.28002929688,591.53002929688,515.90002441406
69,2004-09-01,633.77001953125,547.92999267578,635.97998046875,547.70001220703
70,2004-12-01,634.05999755859,633.77001953125,656.10998535156,604.16998291016
71,2005-03-01,616.71002197266,634.05999755859,647.64001464844,570.03002929688
72,2005-06-01,666.51000976562,616.71002197266,688.51000976562,616.70001220703
73,2005-09-01,677.28997802734,666.51000976562,686.21997070312,614.76000976562
74,2005-12-01,730.64001464844,677.28997802734,742.77001953125,666.58001708984
75,2006-03-01,721.01000976562,730.64001464844,784.61999511719,696.05999755859
76,2006-06-01,720.53002929688,721.01000976562,742.26000976562,668.58001708984
77,2006-09-01,786.11999511719,720.52001953125,795.16998291016,700.44000244141
78,2006-12-01,793.29998779297,785.71002197266,830.01000976562,768.69000244141
79,2007-03-01,847.17999267578,787.61999511719,849.26000976562,760.05999755859
80,2007-06-01,792.85998535156,848.61999511719,856.47998046875,736
81,2007-09-01,767.77001953125,792.5,852.05999755859,734.45001220703
82,2007-12-01,686.17999267578,768.20001220703,799.57000732422,650
83,2008-03-01,748.28002929688,686.04998779297,750.69000244141,643.28002929688
84,2008-06-01,739.5,747.47998046875,764.38000488281,647.36999511719
85,2008-09-01,473.14001464844,745.11999511719,761.78002929688,371.29998779297
86,2008-12-01,389.01998901367,466.5299987793,519,386.69000244141
87,2009-03-01,501.57998657227,389.01000976562,511.82000732422,342.58999633789
88,2009-06-01,572.07000732422,504.57000732422,589.78997802734,473.54000854492
89,2009-09-01,579.72998046875,570.23999023438,625.30999755859,552.27001953125
90,2009-12-01,628.55999755859,582.98999023438,649.15002441406,580.48999023438
91,2010-03-01,661.60998535156,630.60998535156,745.95001220703,617.60998535156
92,2010-06-01,602.05999755859,657.53997802734,677.15002441406,587.66998291016
93,2010-09-01,727.01000976562,603.33001708984,738.98999023438,603.33001708984
94,2010-12-01,823.45001220703,734.97998046875,838,734.70001220703
95,2011-03-01,848.29998779297,825.23999023438,868.57000732422,775.90002441406
96,2011-06-01,726.80999755859,846.53997802734,860.36999511719,639.84997558594
97,2011-09-01,737.41998291016,727.03997802734,769.46002197266,601.71002197266
98,2011-12-01,810.94000244141,734.51000976562,833.02001953125,705.78002929688
99,2012-03-01,761.82000732422,813.96997070312,847.91998291016,745.71002197266
100,2012-06-01,812.09002685547,752.10998535156,827.13000488281,729.75
101,2012-09-01,821.91998291016,813.16998291016,868.5,763.54998779297
102,2012-12-01,911.10998535156,825.86999511719,932,816.08001708984
103,2013-03-01,984.15002441406,905.36999511719,1008.2299804688,898.40002441406
104,2013-06-01,1010.9000244141,986.25,1063.5200195312,942.78997802734
105,2013-09-01,1142.8900146484,1019.4799804688,1147,1009
106,2013-12-01,1183.0300292969,1142.3000488281,1193.5,1082.7199707031
107,2014-03-01,1134.5,1174.2299804688,1212.8199462891,1082.5300292969
108,2014-06-01,1174.3499755859,1136.3699951172,1213.5500488281,1107.3100585938
109,2014-09-01,1173.2299804688,1177.2900390625,1191.7600097656,1040.4699707031
110,2014-12-01,1233.3699951172,1170.5500488281,1239.6700439453,1134.5100097656
111,2015-03-01,1246.5300292969,1233.3900146484,1278.6300048828,1206.1099853516
112,2015-06-01,1159.4499511719,1252.0200195312,1296,1102.5799560547
113,2015-09-01,1198.1099853516,1148.3100585938,1204.8699951172,1078.6300048828
114,2015-12-01,1033.9000244141,1198.9300537109,1205.0799560547,943.09997558594
115,2016-03-01,1154.7900390625,1035.5200195312,1158.9699707031,1035.5200195312
116,2016-06-01,1239.9100341797,1154.5100097656,1251.3299560547,1085.8800048828
117,2016-09-01,1322.3399658203,1240.0699462891,1347.1999511719,1156.0799560547
118,2016-12-01,1386.6800537109,1322.7600097656,1410.4000244141,1308.8499755859
119,2017-03-01,1370.2099609375,1389.1199951172,1425.6999511719,1335.0400390625
120,2017-06-01,1405.2800292969,1370.3299560547,1452.0899658203,1349.3499755859
121,2017-09-01,1544.1400146484,1405.8199462891,1551.6899414062,1393.8800048828
122,2017-12-01,1512.4499511719,1544.0999755859,1615.5200195312,1436.4300537109
123,2018-03-01,1633.6099853516,1512.0699462891,1651.1099853516,1482.9000244141
124,2018-06-01,1740.75,1635.4000244141,1742.0899658203,1630.0600585938
125,2018-09-01,1533.2700195312,1740.8000488281,1740.8000488281,1459.1600341797
126,2018-12-01,1575.5500488281,1536.3299560547,1602.0999755859,1266.9200439453
127,2019-03-01,1465.4899902344,1577.5,1618.3699951172,1461.4699707031
128,2019-06-01,1494.8399658203,1465.8800048828,1599.4000244141,1450.3199462891
129,2019-09-01,1624.5,1494.0300292969,1634.7700195312,1462.2199707031
130,2019-12-01,1476.4300537109,1626.5600585938,1715.0799560547,1448.2099609375
131,2020-03-01,1394.0400390625,1476.5899658203,1539.7399902344,966.21997070312
132,2020-06-01,1561.8800048828,1396.2900390625,1603.5999755859,1343.5999755859
133,2020-09-01,1819.8199462891,1561.0999755859,1862.1700439453,1432.5699462891
134,2020-12-01,2201.0500488281,1822.9200439453,2318.0900878906,1817.0200195312
135,2021-03-01,2268.9699707031,2203.0300292969,2360.169921875,2085.1201171875
136,2021-06-01,2273.7700195312,2270.3798828125,2350.6999511719,2107.0700683594
137,2021-09-01,2198.9099121094,2274.2099609375,2458.8601074219,2155.3400878906
138,2021-12-01,2048.0900878906,2203.1201171875,2288.3000488281,1894.4499511719
139,2022-03-01,1864.0400390625,2047.2399902344,2138.4499511719,1701.1500244141
140,2022-06-01,1844.1199951172,1871.4599609375,2030.0500488281,1641.4699707031
141,2022-09-01,1886.5799560547,1826.75,1906.0899658203,1641.9399414062
142,2022-12-01,1896.9899902344,1891.9799804688,2007.3100585938,1722.0200195312
143,2023-03-01,1749.6500244141,1896.1400146484,1931.7199707031,1695.2299804688
144,2023-06-01,1899.6800537109,1750.8599853516,2003.6199951172,1744.3699951172
145,2023-09-01,1809.0200195312,1908.1700439453,1926.8100585938,1633.6700439453
146,2023-12-01,2054.8400878906,1806.1300048828,2072.9699707031,1800.8100585938
147,2024-03-01,2070.1298828125,2058.4799804688,2135.4599609375,1931.5400390625
148,2024-06-01,2217.6298828125,2082.3999023438,2300,1993.2299804688
149,2024-09-01,2434.7299804688,2206.4099121094,2466.4899902344,2058.6799316406
150,2024-12-01,2163.0700683594,2437.2099609375,2442.6101074219,2126.080078125
151,2025-03-01,2066.2900390625,2168.0200195312,2173.5700683594,1732.9899902344
152,2025-06-01,2366.419921875,2066.5,2384.0100097656,2043.5999755859
153,2025-09-01,2500.4299316406,2339.8601074219,2541.669921875,2303.4599609375
154,2025-12-01,2632.3601074219,2482.2299804688,2735.1000976562,2464.9799804688
155,2026-03-01,2839.6298828125,2608.8898925781,2888.6201171875,2404.9899902344
156,2026-05-08,2861.2092285156,2852.0649414062,2866.2385253906,2844.0756835938
